,daily change
2008-04-13,SMANEG
2008-04-14,MEDPOS
2008-04-15,BIGPOS
2008-04-16,SMAPOS
2008-04-17,BIGPOS
2008-04-18,SMANEG
2008-04-19,SMANEG
2008-04-20,SMANEG
2008-04-21,MEDNEG
2008-04-22,MEDPOS
2008-04-23,MEDPOS
2008-04-24,MEDPOS
2008-04-25,SMANEG
2008-04-26,SMANEG
2008-04-27,SMANEG
2008-04-28,MEDNEG
2008-04-29,SMANEG
2008-04-30,BIGPOS
2008-05-01,MEDPOS
2008-05-02,MEDNEG
2008-05-03,MEDNEG
2008-05-04,MEDNEG
2008-05-05,MEDPOS
2008-05-06,BIGNEG
2008-05-07,MEDPOS
2008-05-08,MEDNEG
2008-05-09,BIGPOS
2008-05-10,BIGPOS
2008-05-11,BIGPOS
2008-05-12,MEDNEG
2008-05-13,MEDPOS
2008-05-14,MEDPOS
2008-05-15,SMANEG
2008-05-16,MEDPOS
2008-05-17,MEDPOS
2008-05-18,MEDPOS
2008-05-19,BIGNEG
2008-05-20,BIGNEG
2008-05-21,SMAPOS
2008-05-22,BIGNEG
2008-05-23,MEDPOS
2008-05-24,MEDPOS
2008-05-25,MEDPOS
2008-05-26,MEDPOS
2008-05-27,MEDPOS
2008-05-28,MEDPOS
2008-05-29,SMANEG
2008-05-30,BIGNEG
2008-05-31,BIGNEG
2008-06-01,BIGNEG
2008-06-02,MEDNEG
2008-06-03,SMANEG
2008-06-04,BIGPOS
2008-06-05,BIGNEG
2008-06-06,MEDPOS
2008-06-07,MEDPOS
2008-06-08,MEDPOS
2008-06-09,SMAPOS
2008-06-10,BIGNEG
2008-06-11,MEDPOS
2008-06-12,BIGPOS
2008-06-13,MEDNEG
2008-06-14,MEDNEG
2008-06-15,MEDNEG
2008-06-16,MEDNEG
2008-06-17,BIGNEG
2008-06-18,MEDPOS
2008-06-19,BIGNEG
2008-06-20,SMANEG
2008-06-21,SMANEG
2008-06-22,SMANEG
2008-06-23,MEDNEG
2008-06-24,SMAPOS
2008-06-25,BIGNEG
2008-06-26,MEDNEG
2008-06-27,SMAPOS
2008-06-28,SMAPOS
2008-06-29,SMAPOS
2008-06-30,MEDPOS
2008-07-01,BIGNEG
2008-07-02,MEDPOS
2008-07-03,MEDNEG
2008-07-04,MEDNEG
2008-07-05,MEDNEG
2008-07-06,MEDNEG
2008-07-07,BIGPOS
2008-07-08,BIGNEG
2008-07-09,MEDPOS
2008-07-10,BIGNEG
2008-07-11,MEDNEG
2008-07-12,MEDNEG
2008-07-13,MEDNEG
2008-07-14,MEDNEG
2008-07-15,BIGPOS
2008-07-16,BIGPOS
2008-07-17,MEDPOS
2008-07-18,MEDNEG
2008-07-19,MEDNEG
2008-07-20,MEDNEG
2008-07-21,BIGPOS
2008-07-22,MEDPOS
2008-07-23,BIGNEG
2008-07-24,SMAPOS
2008-07-25,BIGNEG
2008-07-26,BIGNEG
2008-07-27,BIGNEG
2008-07-28,BIGPOS
2008-07-29,BIGPOS
2008-07-30,BIGNEG
2008-07-31,MEDNEG
2008-08-01,MEDNEG
2008-08-02,MEDNEG
2008-08-03,MEDNEG
2008-08-04,BIGPOS
2008-08-05,MEDPOS
2008-08-06,BIGNEG
2008-08-07,BIGPOS
2008-08-08,MEDPOS
2008-08-09,MEDPOS
2008-08-10,MEDPOS
2008-08-11,BIGNEG
2008-08-12,MEDNEG
2008-08-13,MEDPOS
2008-08-14,MEDPOS
2008-08-15,BIGNEG
2008-08-16,BIGNEG
2008-08-17,BIGNEG
2008-08-18,BIGNEG
2008-08-19,MEDPOS
2008-08-20,SMAPOS
2008-08-21,BIGPOS
2008-08-22,BIGNEG
2008-08-23,BIGNEG
2008-08-24,BIGNEG
2008-08-25,SMAPOS
2008-08-26,MEDPOS
2008-08-27,BIGPOS
2008-08-28,BIGNEG
2008-08-29,MEDNEG
2008-08-30,MEDNEG
2008-08-31,MEDNEG
2008-09-01,MEDNEG
2008-09-02,SMAPOS
2008-09-03,BIGNEG
2008-09-04,MEDPOS
2008-09-05,BIGPOS
2008-09-06,BIGPOS
2008-09-07,BIGPOS
2008-09-08,BIGNEG
2008-09-09,MEDPOS
2008-09-10,BIGPOS
2008-09-11,SMANEG
2008-09-12,BIGNEG
2008-09-13,BIGNEG
2008-09-14,BIGNEG
2008-09-15,BIGPOS
2008-09-16,BIGNEG
2008-09-17,BIGPOS
2008-09-18,BIGPOS
2008-09-19,BIGNEG
2008-09-20,BIGNEG
2008-09-21,BIGNEG
2008-09-22,BIGNEG
2008-09-23,MEDNEG
2008-09-24,BIGPOS
2008-09-25,MEDPOS
2008-09-26,BIGNEG
2008-09-27,BIGNEG
2008-09-28,BIGNEG
2008-09-29,BIGPOS
2008-09-30,SMANEG
2008-10-01,BIGNEG
2008-10-02,BIGNEG
2008-10-03,BIGNEG
2008-10-04,BIGNEG
2008-10-05,BIGNEG
2008-10-06,BIGNEG
2008-10-07,BIGNEG
2008-10-08,BIGNEG
2008-10-09,MEDNEG
2008-10-10,BIGPOS
2008-10-11,BIGPOS
2008-10-12,BIGPOS
2008-10-13,MEDNEG
2008-10-14,BIGNEG
2008-10-15,BIGPOS
2008-10-16,MEDNEG
2008-10-17,BIGPOS
2008-10-18,BIGPOS
2008-10-19,BIGPOS
2008-10-20,BIGNEG
2008-10-21,BIGNEG
2008-10-22,BIGPOS
2008-10-23,BIGNEG
2008-10-24,BIGNEG
2008-10-25,BIGNEG
2008-10-26,BIGNEG
2008-10-27,BIGPOS
2008-10-28,MEDNEG
2008-10-29,BIGPOS
2008-10-30,BIGPOS
2008-10-31,SMANEG
2008-11-01,SMANEG
2008-11-02,SMANEG
2008-11-03,BIGPOS
2008-11-04,BIGNEG
2008-11-05,BIGNEG
2008-11-06,BIGPOS
2008-11-07,MEDNEG
2008-11-08,MEDNEG
2008-11-09,MEDNEG
2008-11-10,BIGNEG
2008-11-11,BIGNEG
2008-11-12,BIGPOS
2008-11-13,BIGNEG
2008-11-14,BIGNEG
2008-11-15,BIGNEG
2008-11-16,BIGNEG
2008-11-17,BIGPOS
2008-11-18,BIGNEG
2008-11-19,BIGNEG
2008-11-20,BIGPOS
2008-11-21,BIGPOS
2008-11-22,BIGPOS
2008-11-23,BIGPOS
2008-11-24,MEDPOS
2008-11-25,BIGPOS
2008-11-26,MEDPOS
2008-11-27,MEDPOS
2008-11-28,BIGNEG
2008-11-29,BIGNEG
2008-11-30,BIGNEG
2008-12-01,BIGPOS
2008-12-02,BIGPOS
2008-12-03,BIGNEG
2008-12-04,BIGPOS
2008-12-05,BIGPOS
2008-12-06,BIGPOS
2008-12-07,BIGPOS
2008-12-08,BIGNEG
2008-12-09,MEDPOS
2008-12-10,BIGNEG
2008-12-11,MEDPOS
2008-12-12,MEDNEG
2008-12-13,MEDNEG
2008-12-14,MEDNEG
2008-12-15,BIGPOS
2008-12-16,MEDNEG
2008-12-17,BIGNEG
2008-12-18,SMANEG
2008-12-19,MEDNEG
2008-12-20,MEDNEG
2008-12-21,MEDNEG
2008-12-22,MEDNEG
2008-12-23,MEDPOS
2008-12-24,MEDPOS
2008-12-25,MEDPOS
2008-12-26,MEDNEG
2008-12-27,MEDNEG
2008-12-28,MEDNEG
2008-12-29,BIGPOS
2008-12-30,MEDPOS
2008-12-31,BIGPOS
2009-01-01,BIGPOS
2009-01-02,MEDNEG
2009-01-03,MEDNEG
2009-01-04,MEDNEG
2009-01-05,MEDPOS
2009-01-06,BIGNEG
2009-01-07,MEDNEG
2009-01-08,BIGNEG
2009-01-09,MEDNEG
2009-01-10,MEDNEG
2009-01-11,MEDNEG
2009-01-12,SMANEG
2009-01-13,BIGNEG
2009-01-14,SMAPOS
2009-01-15,MEDPOS
2009-01-16,BIGNEG
2009-01-17,BIGNEG
2009-01-18,BIGNEG
2009-01-19,BIGNEG
2009-01-20,BIGPOS
2009-01-21,MEDNEG
2009-01-22,MEDNEG
2009-01-23,MEDPOS
2009-01-24,MEDPOS
2009-01-25,MEDPOS
2009-01-26,MEDPOS
2009-01-27,BIGPOS
2009-01-28,BIGNEG
2009-01-29,BIGNEG
2009-01-30,MEDNEG
2009-01-31,MEDNEG
2009-02-01,MEDNEG
2009-02-02,BIGPOS
2009-02-03,MEDNEG
2009-02-04,MEDPOS
2009-02-05,BIGPOS
2009-02-06,SMANEG
2009-02-07,SMANEG
2009-02-08,SMANEG
2009-02-09,BIGNEG
2009-02-10,MEDPOS
2009-02-11,SMANEG
2009-02-12,MEDNEG
2009-02-13,BIGNEG
2009-02-14,BIGNEG
2009-02-15,BIGNEG
2009-02-16,BIGNEG
2009-02-17,SMAPOS
2009-02-18,MEDNEG
2009-02-19,MEDNEG
2009-02-20,BIGNEG
2009-02-21,BIGNEG
2009-02-22,BIGNEG
2009-02-23,BIGPOS
2009-02-24,MEDNEG
2009-02-25,MEDNEG
2009-02-26,MEDNEG
2009-02-27,BIGNEG
2009-02-28,BIGNEG
2009-03-01,BIGNEG
2009-03-02,MEDNEG
2009-03-03,BIGPOS
2009-03-04,BIGNEG
2009-03-05,MEDPOS
2009-03-06,MEDNEG
2009-03-07,MEDNEG
2009-03-08,MEDNEG
2009-03-09,BIGPOS
2009-03-10,SMAPOS
2009-03-11,BIGPOS
2009-03-12,MEDPOS
2009-03-13,SMANEG
2009-03-14,SMANEG
2009-03-15,SMANEG
2009-03-16,BIGPOS
2009-03-17,MEDPOS
2009-03-18,MEDNEG
2009-03-19,MEDNEG
2009-03-20,BIGPOS
2009-03-21,BIGPOS
2009-03-22,BIGPOS
2009-03-23,MEDNEG
2009-03-24,MEDPOS
2009-03-25,BIGPOS
2009-03-26,BIGNEG
2009-03-27,BIGNEG
2009-03-28,BIGNEG
2009-03-29,BIGNEG
2009-03-30,MEDPOS
2009-03-31,BIGPOS
2009-04-01,BIGPOS
2009-04-02,MEDPOS
2009-04-03,MEDNEG
2009-04-04,MEDNEG
2009-04-05,MEDNEG
2009-04-06,BIGNEG
2009-04-07,MEDPOS
2009-04-08,BIGPOS
2009-04-09,SMANEG
2009-04-10,SMANEG
2009-04-11,SMANEG
2009-04-12,SMANEG
2009-04-13,BIGNEG
2009-04-14,MEDPOS
2009-04-15,MEDPOS
2009-04-16,SMAPOS
2009-04-17,BIGNEG
2009-04-18,BIGNEG
2009-04-19,BIGNEG
2009-04-20,BIGPOS
2009-04-21,MEDNEG
2009-04-22,MEDPOS
2009-04-23,MEDPOS
2009-04-24,MEDNEG
2009-04-25,MEDNEG
2009-04-26,MEDNEG
2009-04-27,SMANEG
2009-04-28,BIGPOS
2009-04-29,SMANEG
2009-04-30,MEDPOS
2009-05-01,BIGPOS
2009-05-02,BIGPOS
2009-05-03,BIGPOS
2009-05-04,SMANEG
2009-05-05,MEDPOS
2009-05-06,MEDNEG
2009-05-07,BIGPOS
2009-05-08,BIGNEG
2009-05-09,BIGNEG
2009-05-10,BIGNEG
2009-05-11,MEDPOS
2009-05-12,BIGNEG
2009-05-13,MEDPOS
2009-05-14,MEDNEG
2009-05-15,BIGPOS
2009-05-16,BIGPOS
2009-05-17,BIGPOS
2009-05-18,MEDNEG
2009-05-19,MEDNEG
2009-05-20,BIGNEG
2009-05-21,SMANEG
2009-05-22,BIGPOS
2009-05-23,BIGPOS
2009-05-24,BIGPOS
2009-05-25,BIGPOS
2009-05-26,BIGNEG
2009-05-27,MEDPOS
2009-05-28,MEDPOS
2009-05-29,BIGPOS
2009-05-30,BIGPOS
2009-05-31,BIGPOS
2009-06-01,SMAPOS
2009-06-02,MEDNEG
2009-06-03,MEDPOS
2009-06-04,SMAPOS
2009-06-05,SMAPOS
2009-06-06,SMAPOS
2009-06-07,SMAPOS
2009-06-08,SMANEG
2009-06-09,SMANEG
2009-06-10,MEDPOS
2009-06-11,SMAPOS
2009-06-12,BIGNEG
2009-06-13,BIGNEG
2009-06-14,BIGNEG
2009-06-15,MEDNEG
2009-06-16,SMANEG
2009-06-17,MEDPOS
2009-06-18,SMANEG
2009-06-19,BIGNEG
2009-06-20,BIGNEG
2009-06-21,BIGNEG
2009-06-22,SMANEG
2009-06-23,SMANEG
2009-06-24,BIGPOS
2009-06-25,MEDNEG
2009-06-26,MEDPOS
2009-06-27,MEDPOS
2009-06-28,MEDPOS
2009-06-29,MEDNEG
2009-06-30,MEDPOS
2009-07-01,BIGNEG
2009-07-02,MEDPOS
2009-07-03,MEDPOS
2009-07-04,MEDPOS
2009-07-05,MEDPOS
2009-07-06,BIGNEG
2009-07-07,SMAPOS
2009-07-08,SMAPOS
2009-07-09,MEDNEG
2009-07-10,BIGPOS
2009-07-11,BIGPOS
2009-07-12,BIGPOS
2009-07-13,SMAPOS
2009-07-14,BIGPOS
2009-07-15,MEDPOS
2009-07-16,MEDPOS
2009-07-17,MEDPOS
2009-07-18,MEDPOS
2009-07-19,MEDPOS
2009-07-20,MEDPOS
2009-07-21,MEDNEG
2009-07-22,BIGPOS
2009-07-23,SMAPOS
2009-07-24,SMAPOS
2009-07-25,SMAPOS
2009-07-26,SMAPOS
2009-07-27,SMANEG
2009-07-28,SMANEG
2009-07-29,MEDPOS
2009-07-30,SMAPOS
2009-07-31,MEDPOS
2009-08-01,MEDPOS
2009-08-02,MEDPOS
2009-08-03,MEDPOS
2009-08-04,MEDNEG
2009-08-05,SMANEG
2009-08-06,MEDPOS
2009-08-07,MEDNEG
2009-08-08,MEDNEG
2009-08-09,MEDNEG
2009-08-10,MEDNEG
2009-08-11,MEDPOS
2009-08-12,MEDPOS
2009-08-13,MEDNEG
2009-08-14,BIGNEG
2009-08-15,BIGNEG
2009-08-16,BIGNEG
2009-08-17,MEDPOS
2009-08-18,MEDPOS
2009-08-19,MEDPOS
2009-08-20,BIGPOS
2009-08-21,SMAPOS
2009-08-22,SMAPOS
2009-08-23,SMAPOS
2009-08-24,MEDPOS
2009-08-25,SMAPOS
2009-08-26,MEDPOS
2009-08-27,MEDNEG
2009-08-28,MEDNEG
2009-08-29,MEDNEG
2009-08-30,MEDNEG
2009-08-31,BIGNEG
2009-09-01,MEDNEG
2009-09-02,MEDPOS
2009-09-03,MEDPOS
2009-09-04,MEDPOS
2009-09-05,MEDPOS
2009-09-06,MEDPOS
2009-09-07,MEDPOS
2009-09-08,MEDPOS
2009-09-09,MEDPOS
2009-09-10,SMANEG
2009-09-11,SMAPOS
2009-09-12,SMAPOS
2009-09-13,SMAPOS
2009-09-14,MEDPOS
2009-09-15,MEDPOS
2009-09-16,SMANEG
2009-09-17,MEDPOS
2009-09-18,MEDNEG
2009-09-19,MEDNEG
2009-09-20,MEDNEG
2009-09-21,MEDPOS
2009-09-22,MEDNEG
2009-09-23,MEDNEG
2009-09-24,MEDNEG
2009-09-25,BIGPOS
2009-09-26,BIGPOS
2009-09-27,BIGPOS
2009-09-28,MEDNEG
2009-09-29,MEDNEG
2009-09-30,BIGNEG
2009-10-01,SMANEG
2009-10-02,MEDPOS
2009-10-03,MEDPOS
2009-10-04,MEDPOS
2009-10-05,BIGPOS
2009-10-06,SMANEG
2009-10-07,MEDPOS
2009-10-08,MEDPOS
2009-10-09,SMAPOS
2009-10-10,SMAPOS
2009-10-11,SMAPOS
2009-10-12,SMANEG
2009-10-13,BIGPOS
2009-10-14,MEDPOS
2009-10-15,MEDNEG
2009-10-16,MEDPOS
2009-10-17,MEDPOS
2009-10-18,MEDPOS
2009-10-19,MEDNEG
2009-10-20,MEDNEG
2009-10-21,BIGPOS
2009-10-22,MEDNEG
2009-10-23,MEDNEG
2009-10-24,MEDNEG
2009-10-25,MEDNEG
2009-10-26,SMAPOS
2009-10-27,MEDNEG
2009-10-28,BIGPOS
2009-10-29,BIGNEG
2009-10-30,MEDPOS
2009-10-31,MEDPOS
2009-11-01,MEDPOS
2009-11-02,SMANEG
2009-11-03,MEDPOS
2009-11-04,BIGPOS
2009-11-05,SMAPOS
2009-11-06,BIGPOS
2009-11-07,BIGPOS
2009-11-08,BIGPOS
2009-11-09,SMAPOS
2009-11-10,MEDPOS
2009-11-11,MEDNEG
2009-11-12,MEDPOS
2009-11-13,BIGPOS
2009-11-14,BIGPOS
2009-11-15,BIGPOS
2009-11-16,MEDPOS
2009-11-17,SMANEG
2009-11-18,MEDNEG
2009-11-19,SMANEG
2009-11-20,BIGPOS
2009-11-21,BIGPOS
2009-11-22,BIGPOS
2009-11-23,SMANEG
2009-11-24,MEDPOS
2009-11-25,BIGNEG
2009-11-26,BIGNEG
2009-11-27,MEDPOS
2009-11-28,MEDPOS
2009-11-29,MEDPOS
2009-11-30,BIGPOS
2009-12-01,SMANEG
2009-12-02,MEDNEG
2009-12-03,SMAPOS
2009-12-04,SMAPOS
2009-12-05,SMAPOS
2009-12-06,SMAPOS
2009-12-07,MEDNEG
2009-12-08,MEDPOS
2009-12-09,MEDPOS
2009-12-10,MEDPOS
2009-12-11,MEDPOS
2009-12-12,MEDPOS
2009-12-13,MEDPOS
2009-12-14,MEDNEG
2009-12-15,SMANEG
2009-12-16,BIGNEG
2009-12-17,SMAPOS
2009-12-18,MEDPOS
2009-12-19,MEDPOS
2009-12-20,MEDPOS
2009-12-21,MEDPOS
2009-12-22,SMAPOS
2009-12-23,MEDPOS
2009-12-24,SMAPOS
2009-12-25,SMAPOS
2009-12-26,SMAPOS
2009-12-27,SMAPOS
2009-12-28,SMANEG
2009-12-29,SMAPOS
2009-12-30,MEDNEG
2009-12-31,BIGPOS
2010-01-01,BIGPOS
2010-01-02,BIGPOS
2010-01-03,BIGPOS
2010-01-04,SMANEG
2010-01-05,SMAPOS
2010-01-06,MEDPOS
2010-01-07,SMAPOS
2010-01-08,MEDPOS
2010-01-09,MEDPOS
2010-01-10,MEDPOS
2010-01-11,MEDNEG
2010-01-12,MEDPOS
2010-01-13,MEDPOS
2010-01-14,MEDNEG
2010-01-15,MEDPOS
2010-01-16,MEDPOS
2010-01-17,MEDPOS
2010-01-18,MEDPOS
2010-01-19,MEDNEG
2010-01-20,BIGNEG
2010-01-21,BIGNEG
2010-01-22,SMAPOS
2010-01-23,SMAPOS
2010-01-24,SMAPOS
2010-01-25,SMANEG
2010-01-26,MEDPOS
2010-01-27,MEDNEG
2010-01-28,MEDNEG
2010-01-29,MEDPOS
2010-01-30,MEDPOS
2010-01-31,MEDPOS
2010-02-01,MEDPOS
2010-02-02,SMANEG
2010-02-03,BIGNEG
2010-02-04,SMAPOS
2010-02-05,MEDNEG
2010-02-06,MEDNEG
2010-02-07,MEDNEG
2010-02-08,BIGPOS
2010-02-09,SMANEG
2010-02-10,MEDPOS
2010-02-11,MEDNEG
2010-02-12,BIGPOS
2010-02-13,BIGPOS
2010-02-14,BIGPOS
2010-02-15,BIGPOS
2010-02-16,MEDPOS
2010-02-17,MEDPOS
2010-02-18,SMAPOS
2010-02-19,SMANEG
2010-02-20,SMANEG
2010-02-21,SMANEG
2010-02-22,MEDNEG
2010-02-23,MEDPOS
2010-02-24,MEDNEG
2010-02-25,SMAPOS
2010-02-26,MEDPOS
2010-02-27,MEDPOS
2010-02-28,MEDPOS
2010-03-01,SMAPOS
2010-03-02,SMANEG
2010-03-03,MEDPOS
2010-03-04,MEDPOS
2010-03-05,SMANEG
2010-03-06,SMANEG
2010-03-07,SMANEG
2010-03-08,SMAPOS
2010-03-09,SMAPOS
2010-03-10,MEDPOS
2010-03-11,SMAPOS
2010-03-12,SMAPOS
2010-03-13,SMAPOS
2010-03-14,SMAPOS
2010-03-15,MEDPOS
2010-03-16,MEDPOS
2010-03-17,MEDPOS
2010-03-18,MEDNEG
2010-03-19,MEDPOS
2010-03-20,MEDPOS
2010-03-21,MEDPOS
2010-03-22,MEDPOS
2010-03-23,MEDNEG
2010-03-24,SMAPOS
2010-03-25,SMAPOS
2010-03-26,MEDPOS
2010-03-27,MEDPOS
2010-03-28,MEDPOS
2010-03-29,SMAPOS
2010-03-30,MEDNEG
2010-03-31,MEDPOS
2010-04-01,MEDPOS
2010-04-02,MEDPOS
2010-04-03,MEDPOS
2010-04-04,MEDPOS
2010-04-05,SMANEG
2010-04-06,MEDNEG
2010-04-07,MEDPOS
2010-04-08,MEDPOS
2010-04-09,SMAPOS
2010-04-10,SMAPOS
2010-04-11,SMAPOS
2010-04-12,SMAPOS
2010-04-13,MEDPOS
2010-04-14,SMAPOS
2010-04-15,MEDNEG
2010-04-16,MEDPOS
2010-04-17,MEDPOS
2010-04-18,MEDPOS
2010-04-19,SMAPOS
2010-04-20,SMAPOS
2010-04-21,SMAPOS
2010-04-22,MEDPOS
2010-04-23,SMAPOS
2010-04-24,SMAPOS
2010-04-25,SMAPOS
2010-04-26,BIGNEG
2010-04-27,MEDPOS
2010-04-28,MEDPOS
2010-04-29,BIGNEG
2010-04-30,BIGPOS
2010-05-01,BIGPOS
2010-05-02,BIGPOS
2010-05-03,BIGNEG
2010-05-04,MEDNEG
2010-05-05,BIGNEG
2010-05-06,BIGNEG
2010-05-07,BIGPOS
2010-05-08,BIGPOS
2010-05-09,BIGPOS
2010-05-10,MEDNEG
2010-05-11,BIGPOS
2010-05-12,MEDNEG
2010-05-13,BIGNEG
2010-05-14,SMAPOS
2010-05-15,SMAPOS
2010-05-16,SMAPOS
2010-05-17,MEDNEG
2010-05-18,MEDNEG
2010-05-19,BIGNEG
2010-05-20,BIGPOS
2010-05-21,MEDNEG
2010-05-22,MEDNEG
2010-05-23,MEDNEG
2010-05-24,SMANEG
2010-05-25,MEDNEG
2010-05-26,BIGPOS
2010-05-27,MEDNEG
2010-05-28,MEDNEG
2010-05-29,MEDNEG
2010-05-30,MEDNEG
2010-05-31,MEDNEG
2010-06-01,BIGPOS
2010-06-02,SMAPOS
2010-06-03,BIGNEG
2010-06-04,MEDNEG
2010-06-05,MEDNEG
2010-06-06,MEDNEG
2010-06-07,BIGPOS
2010-06-08,MEDNEG
2010-06-09,BIGPOS
2010-06-10,MEDPOS
2010-06-11,SMANEG
2010-06-12,SMANEG
2010-06-13,SMANEG
2010-06-14,BIGPOS
2010-06-15,SMAPOS
2010-06-16,SMAPOS
2010-06-17,SMAPOS
2010-06-18,SMANEG
2010-06-19,SMANEG
2010-06-20,SMANEG
2010-06-21,BIGNEG
2010-06-22,SMAPOS
2010-06-23,BIGNEG
2010-06-24,SMANEG
2010-06-25,SMANEG
2010-06-26,SMANEG
2010-06-27,SMANEG
2010-06-28,BIGNEG
2010-06-29,MEDNEG
2010-06-30,MEDNEG
2010-07-01,MEDNEG
2010-07-02,MEDPOS
2010-07-03,MEDPOS
2010-07-04,MEDPOS
2010-07-05,MEDPOS
2010-07-06,BIGPOS
2010-07-07,MEDPOS
2010-07-08,MEDPOS
2010-07-09,SMAPOS
2010-07-10,SMAPOS
2010-07-11,SMAPOS
2010-07-12,BIGPOS
2010-07-13,SMAPOS
2010-07-14,SMANEG
2010-07-15,BIGNEG
2010-07-16,MEDPOS
2010-07-17,MEDPOS
2010-07-18,MEDPOS
2010-07-19,MEDPOS
2010-07-20,MEDNEG
2010-07-21,BIGPOS
2010-07-22,MEDPOS
2010-07-23,MEDPOS
2010-07-24,MEDPOS
2010-07-25,MEDPOS
2010-07-26,SMAPOS
2010-07-27,MEDNEG
2010-07-28,MEDNEG
2010-07-29,SMANEG
2010-07-30,BIGPOS
2010-07-31,BIGPOS
2010-08-01,BIGPOS
2010-08-02,MEDNEG
2010-08-03,MEDPOS
2010-08-04,SMANEG
2010-08-05,SMANEG
2010-08-06,MEDPOS
2010-08-07,MEDPOS
2010-08-08,MEDPOS
2010-08-09,MEDNEG
2010-08-10,BIGNEG
2010-08-11,MEDNEG
2010-08-12,SMANEG
2010-08-13,SMANEG
2010-08-14,SMANEG
2010-08-15,SMANEG
2010-08-16,MEDPOS
2010-08-17,SMAPOS
2010-08-18,BIGNEG
2010-08-19,MEDNEG
2010-08-20,MEDNEG
2010-08-21,MEDNEG
2010-08-22,MEDNEG
2010-08-23,BIGNEG
2010-08-24,SMAPOS
2010-08-25,MEDNEG
2010-08-26,BIGPOS
2010-08-27,BIGNEG
2010-08-28,BIGNEG
2010-08-29,BIGNEG
2010-08-30,SMAPOS
2010-08-31,BIGPOS
2010-09-01,MEDPOS
2010-09-02,BIGPOS
2010-09-03,MEDNEG
2010-09-04,MEDNEG
2010-09-05,MEDNEG
2010-09-06,MEDNEG
2010-09-07,MEDPOS
2010-09-08,SMAPOS
2010-09-09,MEDPOS
2010-09-10,MEDPOS
2010-09-11,MEDPOS
2010-09-12,MEDPOS
2010-09-13,SMANEG
2010-09-14,MEDPOS
2010-09-15,SMAPOS
2010-09-16,SMAPOS
2010-09-17,BIGPOS
2010-09-18,BIGPOS
2010-09-19,BIGPOS
2010-09-20,SMAPOS
2010-09-21,SMANEG
2010-09-22,MEDNEG
2010-09-23,BIGPOS
2010-09-24,MEDNEG
2010-09-25,MEDNEG
2010-09-26,MEDNEG
2010-09-27,MEDPOS
2010-09-28,SMANEG
2010-09-29,MEDNEG
2010-09-30,MEDPOS
2010-10-01,MEDNEG
2010-10-02,MEDNEG
2010-10-03,MEDNEG
2010-10-04,BIGPOS
2010-10-05,SMAPOS
2010-10-06,SMANEG
2010-10-07,MEDPOS
2010-10-08,SMAPOS
2010-10-09,SMAPOS
2010-10-10,SMAPOS
2010-10-11,SMAPOS
2010-10-12,MEDPOS
2010-10-13,SMANEG
2010-10-14,MEDNEG
2010-10-15,MEDPOS
2010-10-16,MEDPOS
2010-10-17,MEDPOS
2010-10-18,BIGNEG
2010-10-19,BIGPOS
2010-10-20,MEDPOS
2010-10-21,SMANEG
2010-10-22,MEDPOS
2010-10-23,MEDPOS
2010-10-24,MEDPOS
2010-10-25,SMAPOS
2010-10-26,MEDNEG
2010-10-27,SMANEG
2010-10-28,SMAPOS
2010-10-29,SMAPOS
2010-10-30,SMAPOS
2010-10-31,SMAPOS
2010-11-01,MEDPOS
2010-11-02,SMAPOS
2010-11-03,BIGPOS
2010-11-04,SMAPOS
2010-11-05,MEDNEG
2010-11-06,MEDNEG
2010-11-07,MEDNEG
2010-11-08,MEDNEG
2010-11-09,SMAPOS
2010-11-10,MEDNEG
2010-11-11,MEDNEG
2010-11-12,SMAPOS
2010-11-13,SMAPOS
2010-11-14,SMAPOS
2010-11-15,BIGNEG
2010-11-16,SMANEG
2010-11-17,BIGPOS
2010-11-18,SMAPOS
2010-11-19,SMANEG
2010-11-20,SMANEG
2010-11-21,SMANEG
2010-11-22,BIGNEG
2010-11-23,BIGPOS
2010-11-24,MEDNEG
2010-11-25,MEDNEG
2010-11-26,MEDNEG
2010-11-27,MEDNEG
2010-11-28,MEDNEG
2010-11-29,MEDNEG
2010-11-30,BIGPOS
2010-12-01,MEDPOS
2010-12-02,SMAPOS
2010-12-03,SMANEG
2010-12-04,SMANEG
2010-12-05,SMANEG
2010-12-06,SMANEG
2010-12-07,SMAPOS
2010-12-08,SMANEG
2010-12-09,MEDPOS
2010-12-10,SMAPOS
2010-12-11,SMAPOS
2010-12-12,SMAPOS
2010-12-13,MEDPOS
2010-12-14,SMANEG
2010-12-15,MEDPOS
2010-12-16,SMANEG
2010-12-17,SMANEG
2010-12-18,SMANEG
2010-12-19,SMANEG
2010-12-20,MEDPOS
2010-12-21,SMAPOS
2010-12-22,SMAPOS
2010-12-23,SMANEG
2010-12-24,SMANEG
2010-12-25,SMANEG
2010-12-26,SMANEG
2010-12-27,SMAPOS
2010-12-28,SMAPOS
2010-12-29,SMANEG
2010-12-30,SMAPOS
2010-12-31,MEDPOS
2011-01-01,MEDPOS
2011-01-02,MEDPOS
2011-01-03,SMAPOS
2011-01-04,MEDPOS
2011-01-05,SMANEG
2011-01-06,SMANEG
2011-01-07,MEDNEG
2011-01-08,MEDNEG
2011-01-09,MEDNEG
2011-01-10,MEDPOS
2011-01-11,MEDPOS
2011-01-12,SMANEG
2011-01-13,MEDPOS
2011-01-14,MEDPOS
2011-01-15,MEDPOS
